,date,regime
0,8/15/2017,0
1,8/16/2017,0
2,8/17/2017,0
3,8/18/2017,0
4,8/21/2017,0
5,8/22/2017,0
6,8/23/2017,0
7,8/24/2017,0
8,8/25/2017,0
9,8/28/2017,0
10,8/29/2017,0
11,8/30/2017,0
12,8/31/2017,0
13,9/1/2017,0
14,9/5/2017,0
15,9/6/2017,0
16,9/7/2017,0
17,9/8/2017,0
18,9/11/2017,0
19,9/12/2017,0
20,9/13/2017,0
21,9/14/2017,0
22,9/15/2017,0
23,9/18/2017,0
24,9/19/2017,0
25,9/20/2017,0
26,9/21/2017,0
27,9/22/2017,0
28,9/25/2017,0
29,9/26/2017,0
30,9/27/2017,0
31,9/28/2017,0
32,9/29/2017,0
33,10/2/2017,0
34,10/3/2017,0
35,10/4/2017,0
36,10/5/2017,0
37,10/6/2017,0
38,10/9/2017,0
39,10/10/2017,0
40,10/11/2017,0
41,10/12/2017,0
42,10/13/2017,0
43,10/16/2017,0
44,10/17/2017,0
45,10/18/2017,0
46,10/19/2017,0
47,10/20/2017,0
48,10/23/2017,0
49,10/24/2017,0
50,10/25/2017,0
51,10/26/2017,0
52,10/27/2017,0
53,10/30/2017,0
54,10/31/2017,0
55,11/1/2017,0
56,11/2/2017,0
57,11/3/2017,0
58,11/6/2017,0
59,11/7/2017,0
60,11/8/2017,0
61,11/9/2017,0
62,11/10/2017,0
63,11/13/2017,0
64,11/14/2017,0
65,11/15/2017,0
66,11/16/2017,0
67,11/17/2017,0
68,11/20/2017,0
69,11/21/2017,0
70,11/22/2017,0
71,11/24/2017,0
72,11/27/2017,0
73,11/28/2017,0
74,11/29/2017,0
75,11/30/2017,0
76,12/1/2017,0
77,12/4/2017,0
78,12/5/2017,0
79,12/6/2017,0
80,12/7/2017,0
81,12/8/2017,0
82,12/11/2017,0
83,12/12/2017,0
84,12/13/2017,0
85,12/14/2017,0
86,12/15/2017,0
87,12/18/2017,0
88,12/19/2017,0
89,12/20/2017,0
90,12/21/2017,0
91,12/22/2017,0
92,12/26/2017,0
93,12/27/2017,0
94,12/28/2017,0
95,12/29/2017,0
96,1/2/2018,0
97,1/3/2018,0
98,1/4/2018,0
99,1/5/2018,0
100,1/8/2018,0
101,1/9/2018,0
102,1/10/2018,0
103,1/11/2018,0
104,1/12/2018,0
105,9/6/2017,1
106,10/5/2017,1
107,11/3/2017,1
108,12/4/2017,1
109,1/3/2018,1
