,entry_date,exit_date,quarter_date
0,2006-01-03,2006-01-04,2006-01-01
1,2006-01-04,2006-01-05,2006-01-01
2,2006-01-05,2006-01-06,2006-01-01
3,2006-01-06,2006-01-09,2006-01-01
4,2006-01-09,2006-01-10,2006-01-01
5,2006-01-10,2006-01-11,2006-01-01
6,2006-01-11,2006-01-12,2006-01-01
7,2006-01-12,2006-01-13,2006-01-01
8,2006-01-13,2006-01-17,2006-01-01
9,2006-01-17,2006-01-18,2006-01-01
10,2006-01-18,2006-01-19,2006-01-01
11,2006-01-19,2006-01-20,2006-01-01
12,2006-01-20,2006-01-23,2006-01-01
13,2006-01-23,2006-01-24,2006-01-01
14,2006-01-24,2006-01-25,2006-01-01
15,2006-01-25,2006-01-26,2006-01-01
16,2006-01-26,2006-01-27,2006-01-01
17,2006-01-27,2006-01-30,2006-01-01
18,2006-01-30,2006-01-31,2006-01-01
19,2006-01-31,2006-02-01,2006-01-01
20,2006-02-01,2006-02-02,2006-01-01
21,2006-02-02,2006-02-03,2006-01-01
22,2006-02-03,2006-02-06,2006-01-01
23,2006-02-06,2006-02-07,2006-01-01
24,2006-02-07,2006-02-08,2006-01-01
25,2006-02-08,2006-02-09,2006-01-01
26,2006-02-09,2006-02-10,2006-01-01
27,2006-02-10,2006-02-13,2006-01-01
28,2006-02-13,2006-02-14,2006-01-01
29,2006-02-14,2006-02-15,2006-01-01
30,2006-02-15,2006-02-16,2006-01-01
31,2006-02-16,2006-02-17,2006-01-01
32,2006-02-17,2006-02-21,2006-01-01
33,2006-02-21,2006-02-22,2006-01-01
34,2006-02-22,2006-02-23,2006-01-01
35,2006-02-23,2006-02-24,2006-01-01
36,2006-02-24,2006-02-27,2006-01-01
37,2006-02-27,2006-02-28,2006-01-01
38,2006-02-28,2006-03-01,2006-01-01
39,2006-03-01,2006-03-02,2006-01-01
40,2006-03-02,2006-03-03,2006-01-01
41,2006-03-03,2006-03-06,2006-01-01
42,2006-03-06,2006-03-07,2006-01-01
43,2006-03-07,2006-03-08,2006-01-01
44,2006-03-08,2006-03-09,2006-01-01
45,2006-03-09,2006-03-10,2006-01-01
46,2006-03-10,2006-03-13,2006-01-01
47,2006-03-13,2006-03-14,2006-01-01
48,2006-03-14,2006-03-15,2006-01-01
49,2006-03-15,2006-03-16,2006-01-01
50,2006-03-16,2006-03-17,2006-01-01
51,2006-03-17,2006-03-20,2006-01-01
52,2006-03-20,2006-03-21,2006-01-01
53,2006-03-21,2006-03-22,2006-01-01
54,2006-03-22,2006-03-23,2006-01-01
55,2006-03-23,2006-03-24,2006-01-01
56,2006-03-24,2006-03-27,2006-01-01
57,2006-03-27,2006-03-28,2006-01-01
58,2006-03-28,2006-03-29,2006-01-01
59,2006-03-29,2006-03-30,2006-01-01
60,2006-03-30,2006-03-31,2006-01-01
61,2006-03-31,2006-04-03,2006-01-01
62,2006-04-03,2006-04-04,2006-04-01
63,2006-04-04,2006-04-05,2006-04-01
64,2006-04-05,2006-04-06,2006-04-01
65,2006-04-06,2006-04-07,2006-04-01
66,2006-04-07,2006-04-10,2006-04-01
67,2006-04-10,2006-04-11,2006-04-01
68,2006-04-11,2006-04-12,2006-04-01
69,2006-04-12,2006-04-13,2006-04-01
70,2006-04-13,2006-04-17,2006-04-01
71,2006-04-17,2006-04-18,2006-04-01
72,2006-04-18,2006-04-19,2006-04-01
73,2006-04-19,2006-04-20,2006-04-01
74,2006-04-20,2006-04-21,2006-04-01
75,2006-04-21,2006-04-24,2006-04-01
76,2006-04-24,2006-04-25,2006-04-01
77,2006-04-25,2006-04-26,2006-04-01
78,2006-04-26,2006-04-27,2006-04-01
79,2006-04-27,2006-04-28,2006-04-01
80,2006-04-28,2006-05-01,2006-04-01
81,2006-05-01,2006-05-02,2006-04-01
82,2006-05-02,2006-05-03,2006-04-01
83,2006-05-03,2006-05-04,2006-04-01
84,2006-05-04,2006-05-05,2006-04-01
85,2006-05-05,2006-05-08,2006-04-01
86,2006-05-08,2006-05-09,2006-04-01
87,2006-05-09,2006-05-10,2006-04-01
88,2006-05-10,2006-05-11,2006-04-01
89,2006-05-11,2006-05-12,2006-04-01
90,2006-05-12,2006-05-15,2006-04-01
91,2006-05-15,2006-05-16,2006-04-01
92,2006-05-16,2006-05-17,2006-04-01
93,2006-05-17,2006-05-18,2006-04-01
94,2006-05-18,2006-05-19,2006-04-01
95,2006-05-19,2006-05-22,2006-04-01
96,2006-05-22,2006-05-23,2006-04-01
97,2006-05-23,2006-05-24,2006-04-01
98,2006-05-24,2006-05-25,2006-04-01
99,2006-05-25,2006-05-26,2006-04-01
100,2006-05-26,2006-05-30,2006-04-01
101,2006-05-30,2006-05-31,2006-04-01
102,2006-05-31,2006-06-01,2006-04-01
103,2006-06-01,2006-06-02,2006-04-01
104,2006-06-02,2006-06-05,2006-04-01
105,2006-06-05,2006-06-06,2006-04-01
106,2006-06-06,2006-06-07,2006-04-01
107,2006-06-07,2006-06-08,2006-04-01
108,2006-06-08,2006-06-09,2006-04-01
109,2006-06-09,2006-06-12,2006-04-01
110,2006-06-12,2006-06-13,2006-04-01
111,2006-06-13,2006-06-14,2006-04-01
112,2006-06-14,2006-06-15,2006-04-01
113,2006-06-15,2006-06-16,2006-04-01
114,2006-06-16,2006-06-19,2006-04-01
115,2006-06-19,2006-06-20,2006-04-01
116,2006-06-20,2006-06-21,2006-04-01
117,2006-06-21,2006-06-22,2006-04-01
118,2006-06-22,2006-06-23,2006-04-01
119,2006-06-23,2006-06-26,2006-04-01
120,2006-06-26,2006-06-27,2006-04-01
121,2006-06-27,2006-06-28,2006-04-01
122,2006-06-28,2006-06-29,2006-04-01
123,2006-06-29,2006-06-30,2006-04-01
124,2006-06-30,2006-07-03,2006-04-01
125,2006-07-03,2006-07-05,2006-07-01
126,2006-07-05,2006-07-06,2006-07-01
127,2006-07-06,2006-07-07,2006-07-01
128,2006-07-07,2006-07-10,2006-07-01
129,2006-07-10,2006-07-11,2006-07-01
130,2006-07-11,2006-07-12,2006-07-01
131,2006-07-12,2006-07-13,2006-07-01
132,2006-07-13,2006-07-14,2006-07-01
133,2006-07-14,2006-07-17,2006-07-01
134,2006-07-17,2006-07-18,2006-07-01
135,2006-07-18,2006-07-19,2006-07-01
136,2006-07-19,2006-07-20,2006-07-01
137,2006-07-20,2006-07-21,2006-07-01
138,2006-07-21,2006-07-24,2006-07-01
139,2006-07-24,2006-07-25,2006-07-01
140,2006-07-25,2006-07-26,2006-07-01
141,2006-07-26,2006-07-27,2006-07-01
142,2006-07-27,2006-07-28,2006-07-01
143,2006-07-28,2006-07-31,2006-07-01
144,2006-07-31,2006-08-01,2006-07-01
145,2006-08-01,2006-08-02,2006-07-01
146,2006-08-02,2006-08-03,2006-07-01
147,2006-08-03,2006-08-04,2006-07-01
148,2006-08-04,2006-08-07,2006-07-01
149,2006-08-07,2006-08-08,2006-07-01
150,2006-08-08,2006-08-09,2006-07-01
151,2006-08-09,2006-08-10,2006-07-01
152,2006-08-10,2006-08-11,2006-07-01
153,2006-08-11,2006-08-14,2006-07-01
154,2006-08-14,2006-08-15,2006-07-01
155,2006-08-15,2006-08-16,2006-07-01
156,2006-08-16,2006-08-17,2006-07-01
157,2006-08-17,2006-08-18,2006-07-01
158,2006-08-18,2006-08-21,2006-07-01
159,2006-08-21,2006-08-22,2006-07-01
160,2006-08-22,2006-08-23,2006-07-01
161,2006-08-23,2006-08-24,2006-07-01
162,2006-08-24,2006-08-25,2006-07-01
163,2006-08-25,2006-08-28,2006-07-01
164,2006-08-28,2006-08-29,2006-07-01
165,2006-08-29,2006-08-30,2006-07-01
166,2006-08-30,2006-08-31,2006-07-01
167,2006-08-31,2006-09-01,2006-07-01
168,2006-09-01,2006-09-05,2006-07-01
169,2006-09-05,2006-09-06,2006-07-01
170,2006-09-06,2006-09-07,2006-07-01
171,2006-09-07,2006-09-08,2006-07-01
172,2006-09-08,2006-09-11,2006-07-01
173,2006-09-11,2006-09-12,2006-07-01
174,2006-09-12,2006-09-13,2006-07-01
175,2006-09-13,2006-09-14,2006-07-01
176,2006-09-14,2006-09-15,2006-07-01
177,2006-09-15,2006-09-18,2006-07-01
178,2006-09-18,2006-09-19,2006-07-01
179,2006-09-19,2006-09-20,2006-07-01
180,2006-09-20,2006-09-21,2006-07-01
181,2006-09-21,2006-09-22,2006-07-01
182,2006-09-22,2006-09-25,2006-07-01
