,entry_time,signal_value,exit_time,view_name,signal_asset
0,1/3/2006,1,2/1/2006,spy_view,Long
1,2/1/2006,1,3/1/2006,spy_view,Long
2,3/1/2006,1,4/3/2006,spy_view,Long
3,4/3/2006,1,5/1/2006,spy_view,Long
4,5/1/2006,1,6/1/2006,spy_view,Long
5,6/1/2006,1,7/3/2006,spy_view,Long
6,7/3/2006,1,8/1/2006,spy_view,Long
7,8/1/2006,1,9/1/2006,spy_view,Long
8,9/1/2006,1,10/2/2006,spy_view,Long
9,10/2/2006,1,11/1/2006,spy_view,Long
10,11/1/2006,1,12/1/2006,spy_view,Long
11,12/1/2006,1,1/3/2007,spy_view,Long
12,1/3/2007,1,2/1/2007,spy_view,Long
13,2/1/2007,1,3/1/2007,spy_view,Long
14,3/1/2007,1,4/2/2007,spy_view,Long
15,4/2/2007,1,5/1/2007,spy_view,Long
16,5/1/2007,1,6/1/2007,spy_view,Long
17,6/1/2007,1,7/2/2007,spy_view,Long
18,7/2/2007,1,8/1/2007,spy_view,Long
19,8/1/2007,1,9/4/2007,spy_view,Long
20,9/4/2007,1,10/1/2007,spy_view,Long
21,10/1/2007,1,11/1/2007,spy_view,Long
22,11/1/2007,1,12/3/2007,spy_view,Long
23,12/3/2007,1,1/2/2008,spy_view,Long
24,1/2/2008,1,2/1/2008,spy_view,Long
25,2/1/2008,1,3/3/2008,spy_view,Long
26,3/3/2008,1,4/1/2008,spy_view,Long
27,4/1/2008,1,5/1/2008,spy_view,Long
28,5/1/2008,1,6/2/2008,spy_view,Long
29,6/2/2008,1,7/1/2008,spy_view,Long
30,7/1/2008,1,8/1/2008,spy_view,Long
31,8/1/2008,1,9/2/2008,spy_view,Long
32,9/2/2008,1,10/1/2008,spy_view,Long
33,10/1/2008,1,11/3/2008,spy_view,Long
34,11/3/2008,1,12/1/2008,spy_view,Long
35,12/1/2008,1,1/2/2009,spy_view,Long
36,1/2/2009,1,2/2/2009,spy_view,Long
37,2/2/2009,1,3/2/2009,spy_view,Long
38,3/2/2009,1,4/1/2009,spy_view,Long
39,4/1/2009,1,5/1/2009,spy_view,Long
40,5/1/2009,1,6/1/2009,spy_view,Long
41,6/1/2009,1,7/1/2009,spy_view,Long
42,7/1/2009,1,8/3/2009,spy_view,Long
43,8/3/2009,1,9/1/2009,spy_view,Long
44,9/1/2009,1,10/1/2009,spy_view,Long
45,10/1/2009,1,11/2/2009,spy_view,Long
46,11/2/2009,1,12/1/2009,spy_view,Long
47,12/1/2009,1,1/4/2010,spy_view,Long
48,1/4/2010,1,2/1/2010,spy_view,Long
49,2/1/2010,1,3/1/2010,spy_view,Long
50,3/1/2010,1,4/1/2010,spy_view,Long
51,4/1/2010,1,5/3/2010,spy_view,Long
52,5/3/2010,1,6/1/2010,spy_view,Long
53,6/1/2010,1,7/1/2010,spy_view,Long
54,7/1/2010,1,8/2/2010,spy_view,Long
55,8/2/2010,1,9/1/2010,spy_view,Long
56,9/1/2010,1,10/1/2010,spy_view,Long
57,10/1/2010,1,11/1/2010,spy_view,Long
58,11/1/2010,1,12/1/2010,spy_view,Long
59,12/1/2010,1,1/3/2011,spy_view,Long
60,1/3/2011,1,2/1/2011,spy_view,Long
61,2/1/2011,1,3/1/2011,spy_view,Long
62,3/1/2011,1,4/1/2011,spy_view,Long
63,4/1/2011,1,5/2/2011,spy_view,Long
64,5/2/2011,1,6/1/2011,spy_view,Long
65,6/1/2011,1,7/1/2011,spy_view,Long
66,7/1/2011,1,8/1/2011,spy_view,Long
67,8/1/2011,1,9/1/2011,spy_view,Long
68,9/1/2011,1,10/3/2011,spy_view,Long
69,10/3/2011,1,11/1/2011,spy_view,Long
70,11/1/2011,1,12/1/2011,spy_view,Long
71,12/1/2011,1,1/3/2012,spy_view,Long
72,1/3/2012,1,2/1/2012,spy_view,Long
73,2/1/2012,1,3/1/2012,spy_view,Long
74,3/1/2012,1,4/2/2012,spy_view,Long
75,4/2/2012,1,5/1/2012,spy_view,Long
76,5/1/2012,1,6/1/2012,spy_view,Long
77,6/1/2012,1,7/2/2012,spy_view,Long
78,7/2/2012,1,8/1/2012,spy_view,Long
79,8/1/2012,1,9/4/2012,spy_view,Long
80,9/4/2012,1,10/1/2012,spy_view,Long
81,10/1/2012,1,11/1/2012,spy_view,Long
82,11/1/2012,1,12/3/2012,spy_view,Long
83,12/3/2012,1,1/2/2013,spy_view,Long
84,1/2/2013,1,2/1/2013,spy_view,Long
85,2/1/2013,1,3/1/2013,spy_view,Long
86,3/1/2013,1,4/1/2013,spy_view,Long
87,4/1/2013,1,5/1/2013,spy_view,Long
88,5/1/2013,1,6/3/2013,spy_view,Long
89,6/3/2013,1,7/1/2013,spy_view,Long
90,7/1/2013,1,8/1/2013,spy_view,Long
91,8/1/2013,1,9/3/2013,spy_view,Long
92,9/3/2013,1,10/1/2013,spy_view,Long
93,10/1/2013,1,11/1/2013,spy_view,Long
94,11/1/2013,1,12/2/2013,spy_view,Long
95,12/2/2013,1,1/2/2014,spy_view,Long
96,1/2/2014,1,2/3/2014,spy_view,Long
97,2/3/2014,1,3/3/2014,spy_view,Long
98,3/3/2014,1,4/1/2014,spy_view,Long
99,4/1/2014,1,5/1/2014,spy_view,Long
100,5/1/2014,1,6/2/2014,spy_view,Long
101,6/2/2014,1,7/1/2014,spy_view,Long
102,7/1/2014,1,8/1/2014,spy_view,Long
103,8/1/2014,1,9/2/2014,spy_view,Long
104,9/2/2014,1,10/1/2014,spy_view,Long
105,10/1/2014,1,11/3/2014,spy_view,Long
106,11/3/2014,1,12/1/2014,spy_view,Long
107,12/1/2014,1,1/2/2015,spy_view,Long
108,1/2/2015,1,2/2/2015,spy_view,Long
109,2/2/2015,1,3/2/2015,spy_view,Long
110,3/2/2015,1,4/1/2015,spy_view,Long
111,4/1/2015,1,5/1/2015,spy_view,Long
112,5/1/2015,1,6/1/2015,spy_view,Long
113,6/1/2015,1,7/1/2015,spy_view,Long
114,7/1/2015,1,8/3/2015,spy_view,Long
115,8/3/2015,1,9/1/2015,spy_view,Long
116,9/1/2015,1,10/1/2015,spy_view,Long
117,10/1/2015,1,11/2/2015,spy_view,Long
118,11/2/2015,1,12/1/2015,spy_view,Long
