,entry_time,signal_value,exit_time,view_name,signal_asset
0,2009-12-31 09:31:00-05:00,0,2011-01-26 09:31:00-05:00,spy_view,
1,2011-01-26 09:31:00-05:00,1,2011-02-04 09:31:00-05:00,spy_view,Long
2,2011-02-04 09:31:00-05:00,-1,2011-02-15 09:31:00-05:00,spy_view,Short
3,2011-02-15 09:31:00-05:00,0,2011-03-15 09:31:00-04:00,spy_view,
4,2011-03-15 09:31:00-04:00,1,2011-03-23 09:31:00-04:00,spy_view,Long
5,2011-03-23 09:31:00-04:00,-1,2011-03-31 09:31:00-04:00,spy_view,Short
6,2011-03-31 09:31:00-04:00,0,2011-04-01 09:31:00-04:00,spy_view,
7,2011-04-01 09:31:00-04:00,-1,2011-04-11 09:31:00-04:00,spy_view,Short
8,2011-04-11 09:31:00-04:00,0,2011-04-25 09:31:00-04:00,spy_view,
9,2011-04-25 09:31:00-04:00,-1,2011-05-05 09:31:00-04:00,spy_view,Short
10,2011-05-05 09:31:00-04:00,0,2011-05-12 09:31:00-04:00,spy_view,
11,2011-05-12 09:31:00-04:00,1,2011-05-27 09:31:00-04:00,spy_view,Long
12,2011-05-27 09:31:00-04:00,-1,2011-06-02 09:31:00-04:00,spy_view,Short
13,2011-06-02 09:31:00-04:00,2,2011-06-13 09:31:00-04:00,spy_view,Long
14,2011-06-13 09:31:00-04:00,-2,2011-06-17 09:31:00-04:00,spy_view,Short
15,2011-06-17 09:31:00-04:00,2,2011-07-01 09:31:00-04:00,spy_view,Long
16,2011-07-01 09:31:00-04:00,-1,2011-07-12 09:31:00-04:00,spy_view,Short
17,2011-07-12 09:31:00-04:00,0,2011-07-20 09:31:00-04:00,spy_view,
18,2011-07-20 09:31:00-04:00,1,2011-07-22 09:31:00-04:00,spy_view,Long
19,2011-07-22 09:31:00-04:00,-1,2011-07-26 09:31:00-04:00,spy_view,Short
20,2011-07-26 09:31:00-04:00,0,2011-07-28 09:31:00-04:00,spy_view,
21,2011-07-28 09:31:00-04:00,1,2011-08-17 09:31:00-04:00,spy_view,Long
22,2011-08-17 09:31:00-04:00,-2,2011-08-24 09:31:00-04:00,spy_view,Short
23,2011-08-24 09:31:00-04:00,2,2011-08-25 09:31:00-04:00,spy_view,Long
24,2011-08-25 09:31:00-04:00,-2,2011-08-26 09:31:00-04:00,spy_view,Short
25,2011-08-26 09:31:00-04:00,2,2011-08-31 09:31:00-04:00,spy_view,Long
26,2011-08-31 09:31:00-04:00,-2,2011-09-07 09:31:00-04:00,spy_view,Short
27,2011-09-07 09:31:00-04:00,2,2011-09-16 09:31:00-04:00,spy_view,Long
28,2011-09-16 09:31:00-04:00,-2,2011-09-19 09:31:00-04:00,spy_view,Short
29,2011-09-19 09:31:00-04:00,0,2011-09-23 09:31:00-04:00,spy_view,
30,2011-09-23 09:31:00-04:00,-2,2011-09-27 09:31:00-04:00,spy_view,Short
31,2011-09-27 09:31:00-04:00,1,2011-09-28 09:31:00-04:00,spy_view,Long
32,2011-09-28 09:31:00-04:00,-2,2011-10-04 09:31:00-04:00,spy_view,Short
33,2011-10-04 09:31:00-04:00,2,2011-10-07 09:31:00-04:00,spy_view,Long
34,2011-10-07 09:31:00-04:00,-2,2011-10-18 09:31:00-04:00,spy_view,Short
35,2011-10-18 09:31:00-04:00,1,2011-10-31 09:31:00-04:00,spy_view,Long
36,2011-10-31 09:31:00-04:00,-1,2011-11-01 09:31:00-04:00,spy_view,Short
37,2011-11-01 09:31:00-04:00,1,2011-11-04 09:31:00-04:00,spy_view,Long
38,2011-11-04 09:31:00-04:00,0,2011-11-07 09:31:00-05:00,spy_view,
39,2011-11-07 09:31:00-05:00,-1,2011-11-10 09:31:00-05:00,spy_view,Short
40,2011-11-10 09:31:00-05:00,0,2011-11-11 09:31:00-05:00,spy_view,
41,2011-11-11 09:31:00-05:00,1,2011-11-28 09:31:00-05:00,spy_view,Long
42,2011-11-28 09:31:00-05:00,-1,2011-12-05 09:31:00-05:00,spy_view,Short
43,2011-12-05 09:31:00-05:00,1,2011-12-14 09:31:00-05:00,spy_view,Long
44,2011-12-14 09:31:00-05:00,-1,2011-12-29 09:31:00-05:00,spy_view,Short
45,2011-12-29 09:31:00-05:00,1,2012-01-04 09:31:00-05:00,spy_view,Long
46,2012-01-04 09:31:00-05:00,-1,2012-01-18 09:31:00-05:00,spy_view,Short
47,2012-01-18 09:31:00-05:00,0,2012-01-25 09:31:00-05:00,spy_view,
48,2012-01-25 09:31:00-05:00,1,2012-01-27 09:31:00-05:00,spy_view,Long
49,2012-01-27 09:31:00-05:00,0,2012-02-01 09:31:00-05:00,spy_view,
50,2012-02-01 09:31:00-05:00,1,2012-02-06 09:31:00-05:00,spy_view,Long
51,2012-02-06 09:31:00-05:00,-1,2012-02-07 09:31:00-05:00,spy_view,Short
52,2012-02-07 09:31:00-05:00,1,2012-02-10 09:31:00-05:00,spy_view,Long
53,2012-02-10 09:31:00-05:00,-1,2012-02-13 09:31:00-05:00,spy_view,Short
54,2012-02-13 09:31:00-05:00,0,2012-02-27 09:31:00-05:00,spy_view,
55,2012-02-27 09:31:00-05:00,-1,2012-03-02 09:31:00-05:00,spy_view,Short
56,2012-03-02 09:31:00-05:00,0,2012-03-05 09:31:00-05:00,spy_view,
57,2012-03-05 09:31:00-05:00,-1,2012-03-07 09:31:00-05:00,spy_view,Short
58,2012-03-07 09:31:00-05:00,1,2012-03-12 09:31:00-04:00,spy_view,Long
59,2012-03-12 09:31:00-04:00,0,2012-03-20 09:31:00-04:00,spy_view,
60,2012-03-20 09:31:00-04:00,-2,2012-03-22 09:31:00-04:00,spy_view,Short
61,2012-03-22 09:31:00-04:00,0,2012-03-28 09:31:00-04:00,spy_view,
62,2012-03-28 09:31:00-04:00,-2,2012-03-29 09:31:00-04:00,spy_view,Short
63,2012-03-29 09:31:00-04:00,1,2012-03-30 09:31:00-04:00,spy_view,Long
64,2012-03-30 09:31:00-04:00,-2,2012-04-10 09:31:00-04:00,spy_view,Short
65,2012-04-10 09:31:00-04:00,1,2012-04-27 09:31:00-04:00,spy_view,Long
66,2012-04-27 09:31:00-04:00,-2,2012-05-08 09:31:00-04:00,spy_view,Short
67,2012-05-08 09:31:00-04:00,1,2012-05-24 09:31:00-04:00,spy_view,Long
68,2012-05-24 09:31:00-04:00,-2,2012-06-04 09:31:00-04:00,spy_view,Short
69,2012-06-04 09:31:00-04:00,2,2012-06-11 09:31:00-04:00,spy_view,Long
70,2012-06-11 09:31:00-04:00,-2,2012-06-12 09:31:00-04:00,spy_view,Short
71,2012-06-12 09:31:00-04:00,2,2012-06-20 09:31:00-04:00,spy_view,Long
72,2012-06-20 09:31:00-04:00,0,2012-06-21 09:31:00-04:00,spy_view,
73,2012-06-21 09:31:00-04:00,-1,2012-07-10 09:31:00-04:00,spy_view,Short
74,2012-07-10 09:31:00-04:00,0,2012-07-20 09:31:00-04:00,spy_view,
75,2012-07-20 09:31:00-04:00,-1,2012-07-24 09:31:00-04:00,spy_view,Short
76,2012-07-24 09:31:00-04:00,1,2012-08-07 09:31:00-04:00,spy_view,Long
77,2012-08-07 09:31:00-04:00,-2,2012-08-14 09:31:00-04:00,spy_view,Short
78,2012-08-14 09:31:00-04:00,1,2012-08-17 09:31:00-04:00,spy_view,Long
79,2012-08-17 09:31:00-04:00,-2,2012-08-28 09:31:00-04:00,spy_view,Short
80,2012-08-28 09:31:00-04:00,0,2012-09-05 09:31:00-04:00,spy_view,
81,2012-09-05 09:31:00-04:00,2,2012-09-19 09:31:00-04:00,spy_view,Long
82,2012-09-19 09:31:00-04:00,-1,2012-09-27 09:31:00-04:00,spy_view,Short
83,2012-09-27 09:31:00-04:00,0,2012-10-02 09:31:00-04:00,spy_view,
84,2012-10-02 09:31:00-04:00,1,2012-10-04 09:31:00-04:00,spy_view,Long
85,2012-10-04 09:31:00-04:00,-1,2012-10-10 09:31:00-04:00,spy_view,Short
86,2012-10-10 09:31:00-04:00,0,2012-10-11 09:31:00-04:00,spy_view,
87,2012-10-11 09:31:00-04:00,1,2012-10-19 09:31:00-04:00,spy_view,Long
88,2012-10-19 09:31:00-04:00,-1,2012-10-22 09:31:00-04:00,spy_view,Short
89,2012-10-22 09:31:00-04:00,1,2012-11-12 09:31:00-05:00,spy_view,Long
90,2012-11-12 09:31:00-05:00,-1,2012-11-16 09:31:00-05:00,spy_view,Short
91,2012-11-16 09:31:00-05:00,2,2012-11-23 09:31:00-05:00,spy_view,Long
92,2012-11-23 09:31:00-05:00,-1,2012-11-27 09:31:00-05:00,spy_view,Short
93,2012-11-27 09:31:00-05:00,2,2012-11-28 09:31:00-05:00,spy_view,Long
94,2012-11-28 09:31:00-05:00,-1,2012-12-05 09:31:00-05:00,spy_view,Short
95,2012-12-05 09:31:00-05:00,2,2012-12-07 09:31:00-05:00,spy_view,Long
96,2012-12-07 09:31:00-05:00,-1,2012-12-18 09:31:00-05:00,spy_view,Short
97,2012-12-18 09:31:00-05:00,1,2013-01-07 09:31:00-05:00,spy_view,Long
98,2013-01-07 09:31:00-05:00,-1,2013-01-15 09:31:00-05:00,spy_view,Short
99,2013-01-15 09:31:00-05:00,0,2013-02-08 09:31:00-05:00,spy_view,
100,2013-02-08 09:31:00-05:00,-1,2013-02-14 09:31:00-05:00,spy_view,Short
101,2013-02-14 09:31:00-05:00,1,2013-02-15 09:31:00-05:00,spy_view,Long
102,2013-02-15 09:31:00-05:00,-1,2013-02-20 09:31:00-05:00,spy_view,Short
103,2013-02-20 09:31:00-05:00,0,2013-02-21 09:31:00-05:00,spy_view,
104,2013-02-21 09:31:00-05:00,1,2013-03-05 09:31:00-05:00,spy_view,Long
105,2013-03-05 09:31:00-05:00,0,2013-03-06 09:31:00-05:00,spy_view,
106,2013-03-06 09:31:00-05:00,-1,2013-03-12 09:31:00-04:00,spy_view,Short
107,2013-03-12 09:31:00-04:00,0,2013-04-01 09:31:00-04:00,spy_view,
108,2013-04-01 09:31:00-04:00,-1,2013-04-04 09:31:00-04:00,spy_view,Short
109,2013-04-04 09:31:00-04:00,0,2013-04-08 09:31:00-04:00,spy_view,
110,2013-04-08 09:31:00-04:00,1,2013-04-15 09:31:00-04:00,spy_view,Long
111,2013-04-15 09:31:00-04:00,-2,2013-04-16 09:31:00-04:00,spy_view,Short
112,2013-04-16 09:31:00-04:00,1,2013-04-24 09:31:00-04:00,spy_view,Long
113,2013-04-24 09:31:00-04:00,-2,2013-05-02 09:31:00-04:00,spy_view,Short
114,2013-05-02 09:31:00-04:00,1,2013-05-07 09:31:00-04:00,spy_view,Long
115,2013-05-07 09:31:00-04:00,-1,2013-05-14 09:31:00-04:00,spy_view,Short
116,2013-05-14 09:31:00-04:00,1,2013-05-24 09:31:00-04:00,spy_view,Long
117,2013-05-24 09:31:00-04:00,-1,2013-05-29 09:31:00-04:00,spy_view,Short
118,2013-05-29 09:31:00-04:00,0,2013-06-11 09:31:00-04:00,spy_view,
119,2013-06-11 09:31:00-04:00,-1,2013-06-17 09:31:00-04:00,spy_view,Short
120,2013-06-17 09:31:00-04:00,0,2013-06-28 09:31:00-04:00,spy_view,
121,2013-06-28 09:31:00-04:00,-1,2013-07-18 09:31:00-04:00,spy_view,Short
122,2013-07-18 09:31:00-04:00,0,2013-07-22 09:31:00-04:00,spy_view,
123,2013-07-22 09:31:00-04:00,-1,2013-07-23 09:31:00-04:00,spy_view,Short
124,2013-07-23 09:31:00-04:00,0,2013-07-25 09:31:00-04:00,spy_view,
125,2013-07-25 09:31:00-04:00,1,2013-07-29 09:31:00-04:00,spy_view,Long
126,2013-07-29 09:31:00-04:00,0,2013-08-06 09:31:00-04:00,spy_view,
127,2013-08-06 09:31:00-04:00,-1,2013-08-12 09:31:00-04:00,spy_view,Short
128,2013-08-12 09:31:00-04:00,0,2013-08-22 09:31:00-04:00,spy_view,
129,2013-08-22 09:31:00-04:00,-1,2013-09-04 09:31:00-04:00,spy_view,Short
130,2013-09-04 09:31:00-04:00,1,2013-09-09 09:31:00-04:00,spy_view,Long
131,2013-09-09 09:31:00-04:00,-1,2013-09-10 09:31:00-04:00,spy_view,Short
132,2013-09-10 09:31:00-04:00,1,2013-09-13 09:31:00-04:00,spy_view,Long
133,2013-09-13 09:31:00-04:00,-1,2013-09-17 09:31:00-04:00,spy_view,Short
134,2013-09-17 09:31:00-04:00,0,2013-10-04 09:31:00-04:00,spy_view,
135,2013-10-04 09:31:00-04:00,-1,2013-10-08 09:31:00-04:00,spy_view,Short
136,2013-10-08 09:31:00-04:00,1,2013-10-22 09:31:00-04:00,spy_view,Long
137,2013-10-22 09:31:00-04:00,-1,2013-10-31 09:31:00-04:00,spy_view,Short
138,2013-10-31 09:31:00-04:00,1,2013-11-05 09:31:00-05:00,spy_view,Long
139,2013-11-05 09:31:00-05:00,-1,2013-11-08 09:31:00-05:00,spy_view,Short
140,2013-11-08 09:31:00-05:00,1,2013-11-19 09:31:00-05:00,spy_view,Long
141,2013-11-19 09:31:00-05:00,-1,2013-12-02 09:31:00-05:00,spy_view,Short
142,2013-12-02 09:31:00-05:00,1,2013-12-23 09:31:00-05:00,spy_view,Long
143,2013-12-23 09:31:00-05:00,-1,2013-12-31 09:31:00-05:00,spy_view,Short
144,2013-12-31 09:31:00-05:00,0,2014-01-08 09:31:00-05:00,spy_view,
145,2014-01-08 09:31:00-05:00,-1,2014-01-14 09:31:00-05:00,spy_view,Short
146,2014-01-14 09:31:00-05:00,0,2014-01-27 09:31:00-05:00,spy_view,
147,2014-01-27 09:31:00-05:00,1,2014-02-07 09:31:00-05:00,spy_view,Long
148,2014-02-07 09:31:00-05:00,-1,2014-02-10 09:31:00-05:00,spy_view,Short
149,2014-02-10 09:31:00-05:00,1,2014-02-12 09:31:00-05:00,spy_view,Long
150,2014-02-12 09:31:00-05:00,-1,2014-02-25 09:31:00-05:00,spy_view,Short
151,2014-02-25 09:31:00-05:00,0,2014-03-07 09:31:00-05:00,spy_view,
152,2014-03-07 09:31:00-05:00,-1,2014-03-12 09:31:00-04:00,spy_view,Short
