,Unnamed: 0,date,cusip,dcm_security_id
3678536,3678536,2023-05-26,00846U101,24757
3678537,3678537,2023-05-26,013872106,50428
3678538,3678538,2023-05-26,02376R102,45971
3678539,3678539,2023-05-26,00751Y106,23175
3678540,3678540,2023-05-26,037833100,24
3678541,3678541,2023-05-26,00287Y109,43694
3678542,3678542,2023-05-26,03073E105,22954
3678543,3678543,2023-05-26,009066101,55435
3678544,3678544,2023-05-26,002824100,62
3678545,3678545,2023-05-26,G0450A105,21462
3678546,3678546,2023-05-26,00404A109,42091
3678547,3678547,2023-05-26,013091103,54335
3678548,3678548,2023-05-26,00766T100,33831
3678549,3678549,2023-05-26,G1151C101,25555
3678550,3678550,2023-05-26,00724F101,114
3678551,3678551,2023-05-26,032654105,122
3678552,3678552,2023-05-26,039483102,128
3678553,3678553,2023-05-26,053015103,630
3678554,3678554,2023-05-26,052769106,67
3678555,3678555,2023-05-26,00090Q103,51649
3678556,3678556,2023-05-26,023608102,24783
3678557,3678557,2023-05-26,025537101,161
3678558,3678558,2023-05-26,00130H105,166
3678559,3678559,2023-05-26,025932104,12980
3678560,3678560,2023-05-26,001055102,185
3678561,3678561,2023-05-26,00827B106,55702
3678562,3678562,2023-05-26,001084102,197
3678563,3678563,2023-05-26,00857U107,56921
3678564,3678564,2023-05-26,00123Q104,36243
3678565,3678565,2023-05-26,G0585R106,26211
3678566,3678566,2023-05-26,05351W103,49666
3678567,3678567,2023-05-26,026874784,239
3678568,3678568,2023-05-26,03750L109,55384
3678569,3678569,2023-05-26,04621X108,25955
3678570,3678570,2023-05-26,363576109,266
3678571,3678571,2023-05-26,00971T101,20680
3678572,3678572,2023-05-26,00912X302,41280
3678573,3678573,2023-05-26,012653101,10898
3678574,3678574,2023-05-26,01749D105,55096
3678575,3678575,2023-05-26,016255101,22355
3678576,3678576,2023-05-26,011659109,300
3678577,3678577,2023-05-26,020002101,24838
3678578,3678578,2023-05-26,G0176J109,45874
